"id_delito","tipo","uso_arma","barrio"
"44837","Robo","NO","PALERMO"
"44841","Robo","NO","PALERMO"
"44844","Robo","NO","PALERMO"
"44845","Robo","NO","PALERMO"
"44848","Robo","NO","PALERMO"
"44858","Robo","NO","PALERMO"
"44861","Robo","NO","PALERMO"
"44867","Robo","NO","PALERMO"
"44868","Robo","NO","PALERMO"
"44869","Robo","NO","PALERMO"
"44870","Robo","NO","PALERMO"
"44873","Robo","NO","PALERMO"
"44888","Robo","NO","PALERMO"
"44892","Robo","NO","PALERMO"
"44895","Robo","NO","PALERMO"
"44896","Robo","NO","PALERMO"
"44898","Robo","NO","PALERMO"
"44900","Robo","NO","PALERMO"
"44903","Robo","NO","PALERMO"
"44904","Robo","NO","PALERMO"
"44910","Robo","NO","PALERMO"
"44918","Robo","NO","PALERMO"
"44920","Robo","NO","PALERMO"
"44922","Robo","NO","PALERMO"
"44923","Robo","NO","PALERMO"
"44925","Robo","NO","PALERMO"
"44927","Robo","NO","PALERMO"
"44930","Robo","NO","PALERMO"
"44932","Robo","NO","PALERMO"
"44934","Robo","NO","PALERMO"
"44937","Robo","NO","PALERMO"
"44941","Robo","NO","PALERMO"
"44942","Robo","NO","PALERMO"
"44949","Robo","NO","PALERMO"
"44955","Robo","NO","PALERMO"
"44958","Robo","NO","PALERMO"
"44962","Robo","NO","PALERMO"
"44963","Robo","NO","PALERMO"
"44964","Robo","NO","PALERMO"
"44966","Robo","NO","PALERMO"
"44969","Robo","NO","PALERMO"
"44971","Robo","NO","PALERMO"
"44972","Robo","NO","PALERMO"
"44987","Robo","NO","PALERMO"
"44989","Robo","NO","PALERMO"
"44990","Robo","NO","PALERMO"
"44991","Robo","NO","PALERMO"
"44993","Robo","NO","PALERMO"
"44994","Robo","NO","PALERMO"
"44995","Robo","NO","PALERMO"
"45000","Robo","NO","PALERMO"
"45001","Robo","NO","PALERMO"
"45002","Robo","NO","PALERMO"
"45005","Robo","NO","PALERMO"
"45007","Robo","NO","PALERMO"
