"ID_SUELDO","SUELDO_NETO","ID_PUESTO_TRABAJO","FECHA"
"4445","2472821","11","2/25/2025"
"2408","2482503","11","2/25/2025"
"3801","2500000","11","2/25/2025"
"2520","2513269","11","2/25/2025"
"4515","2555220","11","2/25/2025"
"4852","2558000","11","2/25/2025"
"4526","2560000","11","2/25/2025"
"3223","2615000","11","2/25/2025"
"3885","2696778","11","2/25/2025"
"2004","2700000","11","2/25/2025"
"2317","2700000","11","2/25/2025"
"3720","2700000","11","2/25/2025"
"3690","2740000","11","2/25/2025"
"4022","2750000","11","2/25/2025"
"4818","2750000","11","2/25/2025"
"3971","2795000","11","2/25/2025"
"3548","2800000","11","2/25/2025"
"2772","2800000","11","2/25/2025"
"4681","2800000","11","2/25/2025"
"2599","2800000","11","2/25/2025"
"2365","2800000","11","2/25/2025"
"3240","2850000","11","2/25/2025"
"3826","2944570","11","2/25/2025"
"5120","2949216","11","2/25/2025"
"3331","3000000","11","2/25/2025"
"4046","3000000","11","2/25/2025"
"4258","3156000","11","2/25/2025"
"3246","3250000","11","2/25/2025"
"5098","3340000","11","2/25/2025"
"4848","3400000","11","2/25/2025"
"5022","3406412","11","2/25/2025"
"3955","3444569","11","2/25/2025"
"3600","3500000","11","2/25/2025"
"3907","3500000","11","2/25/2025"
"2616","3640000","11","2/25/2025"
"4158","3700000","11","2/25/2025"
"2955","3900000","11","2/25/2025"
"4419","4100000","11","2/25/2025"
"2742","1450000","12","2/25/2025"
"3786","1460000","12","2/25/2025"
"3814","1500000","12","2/25/2025"
"2243","1500000","12","2/25/2025"
"3506","1536703","12","2/25/2025"
"2990","1550000","12","2/25/2025"
"2451","1554839","12","2/25/2025"
"2775","1560780","12","2/25/2025"
"4888","1600000","12","2/25/2025"
"4531","1600000","12","2/25/2025"
"2263","1600000","12","2/25/2025"
"2386","1600000","12","2/25/2025"
"4320","1600000","12","2/25/2025"
"3975","1600000","12","2/25/2025"
"4626","1616708","12","2/25/2025"
"5059","1618002","12","2/25/2025"
"4402","1619757","12","2/25/2025"
"4589","1620000","12","2/25/2025"
"3563","1621770","12","2/25/2025"
"4095","1660000","12","2/25/2025"
"3864","1688000","12","2/25/2025"
"4233","1693200","12","2/25/2025"
"4004","1696582","12","2/25/2025"
"3704","1700000","12","2/25/2025"
"4338","1700000","12","2/25/2025"
"3154","1700000","12","2/25/2025"
"4223","1700000","12","2/25/2025"
"4277","1700000","12","2/25/2025"
"4955","1734700","12","2/25/2025"
"3118","1735000","12","2/25/2025"
"2239","1762249","12","2/25/2025"
"2238","1770000","12","2/25/2025"
"4220","1772699","12","2/25/2025"
"3507","1781738","12","2/25/2025"
"5151","1781738","12","2/25/2025"
"2691","1789000","12","2/25/2025"
"3032","1800000","12","2/25/2025"
"2902","1800000","12","2/25/2025"
"5095","1800000","12","2/25/2025"
"3015","1816337","12","2/25/2025"
"4351","1832368","12","2/25/2025"
"4097","1840157","12","2/25/2025"
"4654","1840468","12","2/25/2025"
"3891","1850000","12","2/25/2025"
"3777","1864000","12","2/25/2025"
"5255","1868000","12","2/25/2025"
"3828","1870000","12","2/25/2025"
"4746","1890000","12","2/25/2025"
"2534","1892000","12","2/25/2025"
"4398","1898000","12","2/25/2025"
"3878","1900000","12","2/25/2025"
"2487","1900000","12","2/25/2025"
"3505","1900000","12","2/25/2025"
"4420","1930000","12","2/25/2025"
"2214","1965000","12","2/25/2025"
"2843","1976011","12","2/25/2025"
"2227","1977479","12","2/25/2025"
"2484","1980000","12","2/25/2025"
"2812","1980000","12","2/25/2025"
"4405","1990000","12","2/25/2025"
"5160","1995684","12","2/25/2025"
"3281","2000000","12","2/25/2025"
"3494","2000000","12","2/25/2025"
"3825","2000000","12","2/25/2025"
"4864","2000000","12","2/25/2025"
"3607","2008600","12","2/25/2025"
"5021","2020000","12","2/25/2025"
"3684","2036405","12","2/25/2025"
"3297","2048175","12","2/25/2025"
"3854","2050000","12","2/25/2025"
"2089","2053000","12","2/25/2025"
"5185","2060852","12","2/25/2025"
"5082","2065181","12","2/25/2025"
"5225","2090651","12","2/25/2025"
"2296","2094655","12","2/25/2025"
"2234","2095563","12","2/25/2025"
"4207","2100000","12","2/25/2025"
"3164","2100000","12","2/25/2025"
"3848","2100000","12","2/25/2025"
"2759","2100000","12","2/25/2025"
"5279","2100000","12","2/25/2025"
"3733","2123515","12","2/25/2025"
"4353","2128000","12","2/25/2025"
"4650","2159402","12","2/25/2025"
"3399","2180000","12","2/25/2025"
"4596","2200000","12","2/25/2025"
"5186","2200000","12","2/25/2025"
"3702","2200000","12","2/25/2025"
"3457","2200000","12","2/25/2025"
"4006","2200000","12","2/25/2025"
"1966","2200000","12","2/25/2025"
"3751","2244000","12","2/25/2025"
"4361","2259530","12","2/25/2025"
"3106","2275020","12","2/25/2025"
"4651","2300000","12","2/25/2025"
"4686","2300000","12","2/25/2025"
"3318","2300000","12","2/25/2025"
"4815","2300000","12","2/25/2025"
"3644","2320000","12","2/25/2025"
"3261","2320000","12","2/25/2025"
"3887","2350000","12","2/25/2025"
"3666","2375416","12","2/25/2025"
"2700","2390000","12","2/25/2025"
"4643","2398000","12","2/25/2025"
"4793","2400000","12","2/25/2025"
"2223","2400000","12","2/25/2025"
"3003","2400000","12","2/25/2025"
"4550","2400000","12","2/25/2025"
"2854","2400000","12","2/25/2025"
"3402","2400000","12","2/25/2025"
"3205","2400000","12","2/25/2025"
"2071","2400000","12","2/25/2025"
"2602","2420000","12","2/25/2025"
