Periodo,Sector,Departamento,Cargo,Provincia,Sueldo_Min_ARS,Sueldo_Max_ARS,Sueldo_Min_USD,Sueldo_Max_USD
2024-Q3,Lab & Pharma,IT,Analista BI,Litoral,4251702.72,5098186.44,3813.18629596413,4572.36452017937
2024-Q3,Lab & Pharma,IT,Analista BI,NEA,4066846.08,4876526.16,3647.39558744395,4373.56606278027
2024-Q3,Lab & Pharma,IT,Analista BI,NOA,4066846.08,4876526.16,3647.39558744395,4373.56606278027
2024-Q3,Lab & Pharma,IT,Analista BI,Patagonia,4621416,5541507,4144.76771300448,4969.96143497758
2024-Q3,Manufactura,IT,Analista BI,Buenos Aires,3541319,5683598,3176.07085201794,5097.39730941704
2024-Q3,Manufactura,IT,Analista BI,Cuyo,3258013.48,5228910.16,2921.9851838565,4689.60552466368
2024-Q3,Manufactura,IT,Analista BI,Litoral,3258013.48,5228910.16,2921.9851838565,4689.60552466368
2024-Q3,Manufactura,IT,Analista BI,NEA,3116360.72,5001566.24,2794.94234977578,4485.709632287
2024-Q3,Manufactura,IT,Analista BI,NOA,3116360.72,5001566.24,2794.94234977578,4485.709632287
2024-Q3,Manufactura,IT,Analista BI,Patagonia,3541319,5683598,3176.07085201794,5097.39730941704
2024-Q3,Retail & Comercio,IT,Analista BI,Buenos Aires,3541319,5683598,3176.07085201794,5097.39730941704
2024-Q3,Retail & Comercio,IT,Analista BI,Cuyo,3258013.48,5228910.16,2921.9851838565,4689.60552466368
2024-Q3,Retail & Comercio,IT,Analista BI,Litoral,3258013.48,5228910.16,2921.9851838565,4689.60552466368
2024-Q3,Retail & Comercio,IT,Analista BI,NEA,3116360.72,5001566.24,2794.94234977578,4485.709632287
2024-Q3,Retail & Comercio,IT,Analista BI,NOA,3116360.72,5001566.24,2794.94234977578,4485.709632287
2024-Q3,Retail & Comercio,IT,Analista BI,Patagonia,3541319,5683598,3176.07085201794,5097.39730941704
2024-Q3,Servicios,IT,Analista BI,Buenos Aires,3541319,5683598,3176.07085201794,5097.39730941704
2024-Q3,Servicios,IT,Analista BI,Cuyo,3258013.48,5228910.16,2921.9851838565,4689.60552466368
2024-Q3,Servicios,IT,Analista BI,Litoral,3258013.48,5228910.16,2921.9851838565,4689.60552466368
2024-Q3,Servicios,IT,Analista BI,NEA,3116360.72,5001566.24,2794.94234977578,4485.709632287
2024-Q3,Servicios,IT,Analista BI,NOA,3116360.72,5001566.24,2794.94234977578,4485.709632287
2024-Q3,Servicios,IT,Analista BI,Patagonia,3541319,5683598,3176.07085201794,5097.39730941704
2024-Q3,Transporte y logística,IT,Analista BI,Buenos Aires,3541319,5683598,3176.07085201794,5097.39730941704
2024-Q3,Transporte y logística,IT,Analista BI,Cuyo,3258013.48,5228910.16,2921.9851838565,4689.60552466368
2024-Q3,Transporte y logística,IT,Analista BI,Litoral,3258013.48,5228910.16,2921.9851838565,4689.60552466368
2024-Q3,Transporte y logística,IT,Analista BI,NEA,3116360.72,5001566.24,2794.94234977578,4485.709632287
2024-Q3,Transporte y logística,IT,Analista BI,NOA,3116360.72,5001566.24,2794.94234977578,4485.709632287
2024-Q3,Transporte y logística,IT,Analista BI,Patagonia,3541319,5683598,3176.07085201794,5097.39730941704
2024-Q3,Automotriz,IT,Analista funcional,Buenos Aires,3248412,5414019,2913.37399103139,4855.62242152466
2024-Q3,Automotriz,IT,Analista funcional,Cuyo,2988539.04,4980897.48,2680.30407174888,4467.17262780269
